baseline_id,stage,candidate_id,gaussian_k,gaussian_sigma,median_k,canny_t1,canny_t2,sobel_k,threshold,erode_r,dilate_r,cc_area,cc_aspect,mean_f1,std_f1,min_f1,max_f1,mean_precision,mean_recall,invalid_images,elapsed_sec,stage_winner,final_winner
B0,stage1_full,73,7.0000000000,1.5000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,70.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3405603182,0.3365605160,0.0000000000,0.8538102644,0.4933891531,0.4384465051,0,0.0023964000,0,0
B0,stage1_full,74,7.0000000000,1.5000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,90.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3023738327,0.2985960450,0.0000000000,0.8824822868,0.4718744611,0.5072202919,0,0.0026129000,0,0
B0,stage1_full,75,7.0000000000,1.5000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,110.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3523971211,0.2532645427,0.0372059092,0.8971698626,0.3784421607,0.6483239963,0,0.0022158000,0,0
B0,stage1_full,76,7.0000000000,1.5000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,130.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.1501871943,0.1065593989,0.0257103640,0.4828053073,0.0863111036,0.8834040365,0,0.0028178000,0,0
B0,stage1_full,77,7.0000000000,1.5000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,150.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0634127053,0.0574839457,0.0124110493,0.1930771551,0.0337607253,0.9748902259,0,0.0028656000,0,0
B0,stage1_full,78,7.0000000000,1.5000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,170.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0554412048,0.0511543341,0.0108873600,0.1706040537,0.0292723796,0.9912135593,0,0.0023260000,0,0
B0,stage1_full,79,7.0000000000,1.5000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,190.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0532080031,0.0475273496,0.0108682030,0.1569515567,0.0279693496,0.9972357943,0,0.0023154000,0,0
B0,stage1_full,80,7.0000000000,1.5000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,210.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0521622955,0.0458796071,0.0108681485,0.1502753624,0.0273646553,0.9993164775,0,0.0023728000,0,0
B0,stage1_full,81,7.0000000000,2.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,30.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.1773642401,0.1929989535,0.0000000000,0.5435366905,0.5481243166,0.1142522445,0,0.0025213000,0,0
B0,stage1_full,82,7.0000000000,2.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,50.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3541865500,0.3161010180,0.0000000000,0.7878717472,0.4832307688,0.3354601937,0,0.0023345000,0,0
B0,stage1_full,83,7.0000000000,2.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,70.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3495035849,0.3399877032,0.0000000000,0.8509252020,0.4572054752,0.4340970644,0,0.0028251000,0,0
B0,stage1_full,84,7.0000000000,2.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,90.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3010053843,0.3063190118,0.0000000000,0.8856061531,0.3935395263,0.5035897589,0,0.0023836000,0,0
B0,stage1_full,85,7.0000000000,2.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,110.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3434020803,0.2609938462,0.0402656025,0.9114268605,0.3887831434,0.6349723280,0,0.0031458000,0,0
B0,stage1_full,86,7.0000000000,2.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,130.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.1570167031,0.1142928617,0.0260721474,0.5177974888,0.0911224244,0.8856386606,0,0.0028280000,0,0
B0,stage1_full,87,7.0000000000,2.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,150.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0625544466,0.0563841955,0.0122253560,0.1896192733,0.0332497448,0.9797562204,0,0.0031221000,0,0
